"Date","Description","Institution","Account","Category","Is Hidden","Is Pending","Amount"
"7/22/2022","ONLINE TRANSFER TO CHK","Chase - via Direct Web API","CHASE SAVINGS","Transfers","No","No","($3000)"
"7/22/2022","ONLINE TRANSFER FROM SAV","Chase - via Direct Web API","CHASE CHECKING","Transfers","No","No","$3000"
"7/22/2022","CMA CGM AMERICA PAYROLL PPD ID","Chase - via Direct Web API","CHASE CHECKING","Paycheck/Salary","No","No","$2124.1"
"7/21/2022","SUBWAY","Chase - via Direct Web API","CHASE FREEDOM","Fast Food & Convenience","No","No","($11.02)"
"7/21/2022","PANERA BREAD P","Chase - via Direct Web API","CHASE FREEDOM","Fast Food & Convenience","No","No","($6.75)"
"7/20/2022","CARDINAL CANTEEN VEND","Chase - via Direct Web API","CHASE FREEDOM","Fast Food & Convenience","No","No","($1.5)"
"7/20/2022","WAWA","Chase - via Direct Web API","CHASE FREEDOM","Gas & Fuel","No","No","($30.97)"
"7/19/2022","7-ELEVEN 38165","Chase - via Direct Web API","CHASE FREEDOM","Fast Food & Convenience","No","No","($2.1)"
"7/19/2022","CARDINAL CANTEEN VEND","Chase - via Direct Web API","CHASE FREEDOM","Fast Food & Convenience","No","No","($1.5)"
"7/19/2022","JPMORGAN CHASE EXT TRNSFR FUTURE AMOUNT TRAN ACHSD","Goldman Sachs - Marcus - via Direct Web Access","GOLDMAN SACHS","Transfers","No","No","$400"
"7/19/2022","INTEREST PAYMENT","Chase - via Direct Web API","CHASE SAVINGS","Interest Income","No","No","$0.02"
"7/18/2022","7-ELEVEN 38165","Chase - via Direct Web API","CHASE FREEDOM","Fast Food & Convenience","No","No","($2.1)"
"7/18/2022","INTERNET TRANSFER TO JPMORGAN CHASE BANK NA SAV ACCOUNT","Goldman Sachs - Marcus - via Direct Web Access","GOLDMAN SACHS","Transfers","No","No","($3000)"
"7/18/2022","INTERNET TRANSFER TO CHARLES SCHWAB BANK DDA ACCOUNT","Goldman Sachs - Marcus - via Direct Web Access","GOLDMAN SACHS","Transfers","No","No","($3000)"
"7/18/2022","GOLDMAN SACHS BA TRANSFER","Charles Schwab US","CHARLES SCHWAB CHECKING","Transfers","No","No","$3000"
"7/18/2022","GOLDMAN SACHS BA TRANSFER RANI PRADEEP KU WEB ID","Chase - via Direct Web API","CHASE SAVINGS","Transfers","No","No","$3000"
"7/17/2022","BARNES NOBLE","Chase - via Direct Web API","CHASE FREEDOM","Books","No","No","($2.89)"
"7/17/2022","SPRINT WIRELESS KS","Discover Credit Card - via Direct Web Access","DISCOVER","Phone, Internet & Cable","No","No","($211.34)"
"7/15/2022","REG MACARTHUR","Chase - via Direct Web API","CHASE FREEDOM","Fast Food & Convenience","No","No","($15.16)"
"7/15/2022","REG MACARTHUR","Chase - via Direct Web API","CHASE FREEDOM","Fast Food & Convenience","No","No","($13.2)"
