"Date","Description","Institution","Account","Category","Is Hidden","Is Pending","Amount"
"12/26/2023","AMERICAN EXPRESS PMT WEB ID","Chase - via Direct Web API","CHASE CHECKING","Credit Card Payment","No","No","($76.1)"
"12/26/2023","KABILAN BASKARAN IAT PAYPAL WEB ID","Chase - via Direct Web API","CHASE CHECKING","Online Payment","No","No","($30)"
"12/25/2023","PATEL BROTHERS","Chase - via Direct Web API","CHASE FREEDOM","Groceries","No","No","($56)"
"12/25/2023","TXU BILL PAYMENT","Chase - via Direct Web API","CHASE FREEDOM","Restaurants/Dining","No","No","($46.5)"
"12/25/2023","SHELL OIL","Chase - via Direct Web API","CHASE FREEDOM","Gas & Fuel","No","No","($33.98)"
"12/25/2023","STARBUCKS STORE","Chase - via Direct Web API","CHASE FREEDOM","Coffee","No","No","($2.87)"
"12/25/2023","INDIAN VEGETARIAN RE FRISCO TX","Discover Credit Card - via Direct Web Access","DISCOVER","Restaurants/Dining","No","No","($31.35)"
"12/24/2023","FIVERR","Chase - via Direct Web API","CHASE FREEDOM","Fast Food & Convenience","No","No","($12.98)"
"12/24/2023","SAN ANTONIO TX","Discover Credit Card - via Direct Web Access","DISCOVER","Restaurants/Dining","No","No","($24.99)"
"12/24/2023","SEAWORLDFOOD SVC ANTONIO T","American Express - Amex Account - via Direct Web Access","AMEX","Restaurants/Dining","No","No","($16.79)"
"12/24/2023","SEAWORLD SA MOB DIEGO CA","American Express - Amex Account - via Direct Web Access","AMEX","Restaurants/Dining","No","No","($25.95)"
"12/24/2023","TOWER OF THE AMERICASAN ANTONIO","American Express - Amex Account - via Direct Web Access","AMEX","Restaurants/Dining","No","No","($40)"
"12/23/2023","BURLINGTON STORES","Chase - via Direct Web API","CHASE FREEDOM","Clothing","No","No","($96.28)"
"12/23/2023","WAXAHACHIE TX","Discover Credit Card - via Direct Web Access","DISCOVER","Gas & Fuel","No","No","($41.64)"
"12/23/2023","RAMIREZ VENDING GEORGETOWN TX","Discover Credit Card - via Direct Web Access","DISCOVER","Fast Food & Convenience","No","No","($2.35)"
"12/23/2023","RAMIREZ VENDING GEORGETOWN TX","Discover Credit Card - via Direct Web Access","DISCOVER","Fast Food & Convenience","No","No","($1.85)"
"12/23/2023","STARBUCKS STORE TX","American Express - Amex Account - via Direct Web Access","AMEX","Coffee","No","No","($2.87)"
"12/22/2023","INDIAN VEGETARIAN","Chase - via Direct Web API","CHASE FREEDOM","Restaurants/Dining","No","No","($15.47)"
"12/22/2023","DUNKIN PLANO TX","Discover Credit Card - via Direct Web Access","DISCOVER","Fast Food & Convenience","No","No","($2.69)"
"12/22/2023","GOOGLE VOICE GCOHELPPAY CA","American Express - Amex Account - via Direct Web Access","AMEX","Electronics & Software","No","No","($10)"
"12/21/2023","WALMART","Chase - via Direct Web API","CHASE FREEDOM","Shopping","No","No","($149.02)"
"12/21/2023","NTTA AUTOCHARGE TX","Discover Credit Card - via Direct Web Access","DISCOVER","Tolls","No","No","($10)"
"12/21/2023","WALMART SUPERCENTERPLANO TX","American Express - Amex Account - via Direct Web Access","AMEX","Shopping","No","No","($7.53)"
"12/21/2023","WELLS FARGO IFI DDA TO DDA PPD ID INTFITRVOS","Chase - via Direct Web API","CHASE CHECKING","Income","No","No","$2400"
"12/19/2023","PATEL BROTHERS","Chase - via Direct Web API","CHASE FREEDOM","Groceries","No","No","($15.27)"
"12/19/2023","VIDIQ CA","Discover Credit Card - via Direct Web Access","DISCOVER","Fast Food & Convenience","No","No","($10)"
"12/19/2023","ONLINE TRANSFER TO JPMORGAN CHASE BANK NA CHK S PRADEEP KUMAR REF ON","Wells Fargo Online Banking","WELLS FARGO CHECKING","Transfers","No","No","($2400)"
"12/19/2023","WELLS FARGO IFI ACCTVERIFY WEB ID INTFIDTVOS","Chase - via Direct Web API","CHASE CHECKING","Credit Card Payment","No","No","($0.4)"
"12/19/2023","WELLS FARGO IFI ACCTVERIFY PPD ID INTFIDTVOS","Chase - via Direct Web API","CHASE CHECKING","Income","No","No","$0.27"
"12/19/2023","WELLS FARGO IFI ACCTVERIFY PPD ID INTFIDTVOS","Chase - via Direct Web API","CHASE CHECKING","Income","No","No","$0.13"
"12/18/2023","INTEREST PAYMENT","Chase - via Direct Web API","CHASE SAVINGS","Interest Income","No","No","$0.02"
"12/17/2023","PATEL BROTHERS","Chase - via Direct Web API","CHASE FREEDOM","Groceries","No","No","($115.47)"
